Price,Close,High,Low,Open,Volume
Ticker,TNXP,TNXP,TNXP,TNXP,TNXP
Date,,,,,
2023-03-14,13600.0,14400.0,13000.0,14000.0,45
2023-03-15,11200.0,12800.0,11200.0,12400.0,125
2023-03-16,12000.0,12000.0,11400.0,11400.0,41
2023-03-17,12000.0,12400.0,11800.0,12000.0,29
2023-03-20,11800.0,12400.0,11800.0,12400.0,24
2023-03-21,11800.0,12200.0,11800.0,11800.0,44
2023-03-22,12400.0,12600.0,11800.0,11800.0,42
2023-03-23,11400.0,12600.0,11000.0,12600.0,66
2023-03-24,11600.0,11800.0,11200.0,11400.0,18
2023-03-27,11200.0,12000.0,11000.0,11800.0,21
2023-03-28,11400.0,11600.0,11000.0,11000.0,20
2023-03-29,11800.0,12000.0,11400.0,11400.0,22
2023-03-30,12400.0,12800.0,11800.0,12600.0,54
2023-03-31,11800.0,12800.0,11600.0,12800.0,41
2023-04-03,11600.0,12200.0,11400.0,11800.0,22
2023-04-04,11400.0,11800.0,11200.0,11600.0,26
2023-04-05,11800.0,12000.0,11200.0,11200.0,22
2023-04-06,11800.0,12000.0,11600.0,11800.0,16
2023-04-10,11600.0,11800.0,11200.0,11400.0,19
2023-04-11,11600.0,11800.0,11400.0,11600.0,20
2023-04-12,11200.0,11800.0,11200.0,11600.0,22
2023-04-13,10600.0,11400.0,10400.0,11000.0,61
2023-04-14,10200.0,11000.0,10200.0,11000.0,52
2023-04-17,10200.0,10600.0,9400.0,10400.0,91
2023-04-18,10200.0,10400.0,10000.0,10000.0,35
2023-04-19,10200.0,10600.0,10000.0,10400.0,19
